id,product_url,product_name,price,currency,image_url,location,sold,shop_type,list_type,sourcing_status,sourcing_notes,status_updated_at,created_at,updated_at
35,https://shopee.sg/Charcoal-Super-Absorbent-Pee-Pad-For-Dogs-Cats-Pet-Diapers-Bamboo-Deodorant-Dog-Training-Pee-Pad-Absorbent-i.508848032.23537767220,Charcoal Super Absorbent Pee Pad For Dogs Cats Pet Diapers Bamboo Deodorant Dog Training Pee Pad Absorbent,,,https://down-sg.img.susercontent.com/file/m3315sq6x5vbfd_tn.webp,,64,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.827603,2025-09-12 12:23:24.833273
36,https://shopee.sg/Addiction-Air-Dried-Grain-Free-Dog-Food-Complete-Meal-or-Topper-for-Puppies-to-Senior-Dogs-Skin-and-Coat-Health-i.96897285.10709082499?sp_atk=2ed8c5e7-0476-46a6-9696-5d556fb303de&xptdk=2ed8c5e7-0476-46a6-9696-5d556fb303de,"Addiction Air-Dried Grain-Free Dog Food , Complete Meal or Topper for Puppies to Senior Dogs, Skin and Coat Health",,,https://down-sg.img.susercontent.com/file/m8vbis5n2xw524_tn.webp,,0,Standard,検索/カテゴリー,,,,2025-09-12 12:23:01.194872,2025-09-12 12:23:24.446676
37,https://shopee.sg/Food-For-The-Good-FFTG-Freeze-Dried-Cat-Dog-Treats-with-Single-Natural-Ingredient-(20-Flavors)-i.282948424.11262606548?sp_atk=b425d4a4-527c-49d2-ab3b-2d5a7c4cdc47&xptdk=b425d4a4-527c-49d2-ab3b-2d5a7c4cdc47,Food For The Good | FFTG - Freeze Dried Cat & Dog Treats with Single Natural Ingredient (20 Flavors),,,https://down-sg.img.susercontent.com/file/m0e3rwf3vyx006_tn.webp,,20,Standard,検索/カテゴリー,,,,2025-09-12 12:23:01.198510,2025-09-12 12:23:24.447897
38,https://shopee.sg/Wellness-CORE-Tiny-Tasters-Grain-Free-Wet-Cat-Food-Flaked-Minced-Pate-1.75oz-(50g)-12-Recipes-i.282948424.4849134907?sp_atk=bb8eccba-f88f-481a-b54c-ffa0fc2cd240&xptdk=bb8eccba-f88f-481a-b54c-ffa0fc2cd240,Wellness CORE Tiny Tasters Grain-Free Wet Cat Food - Flaked/Minced/Pate 1.75oz (50g) | 12 Recipes,,,https://down-sg.img.susercontent.com/file/yywuh3qybxnvd1_tn.webp,,1,Standard,検索/カテゴリー,,,,2025-09-12 12:23:01.200013,2025-09-12 12:23:24.448636
39,https://shopee.sg/Bird-Food.-Jonsanty-Gold-Bio-Futter-Junior-Budgie-Food.-With-Cuttle-Fish-!!-2-sizes-pack.-i.315223851.23580756746?sp_atk=1c18636b-112d-4871-9697-55800c8f9335&xptdk=1c18636b-112d-4871-9697-55800c8f9335,Bird Food. Jonsanty Gold Bio Futter Junior Budgie Food. With Cuttle Fish !! 2 sizes pack.,,,https://down-sg.img.susercontent.com/file/m8xag3vtxdia45_tn.webp,,0,Standard,検索/カテゴリー,,,,2025-09-12 12:23:01.201213,2025-09-12 12:23:24.449268
40,https://shopee.sg/MIX-MATCH-WildChow-Premium-Dog-Food-Cooked-or-Raw-Frozen-Dog-Food-8-x-250g-i.20915679.19016729836?sp_atk=17c63f8a-b864-444a-9659-ac481ccecc13&xptdk=17c63f8a-b864-444a-9659-ac481ccecc13,MIX & MATCH WildChow Premium Dog Food Cooked or Raw Frozen Dog Food 8 x 250g,,,https://down-sg.img.susercontent.com/file/m4oco7pqmt2aee_tn.webp,,8,Standard,検索/カテゴリー,,,,2025-09-12 12:23:01.202434,2025-09-12 12:23:24.449874
41,https://shopee.sg/Schesir-Cat-Canned-Wet-Food-in-Natural-Juicy-Soft-Jelly-85g-Highly-Palatable-(12-Variations)-i.282948424.6442566371?sp_atk=c76fd784-0e9b-43c3-b111-f39615e1e0b0&xptdk=c76fd784-0e9b-43c3-b111-f39615e1e0b0,Schesir Cat Canned Wet Food in Natural Juicy Soft Jelly 85g | Highly Palatable (12 Variations),,,https://down-sg.img.susercontent.com/file/lpsrkh17kxy6fb_tn.webp,,85,Standard,検索/カテゴリー,,,,2025-09-12 12:23:01.203819,2025-09-12 12:23:24.450468
42,https://shopee.sg/AltimatePet-Dog-Dental-Chew-For-Oral-Care-(Cranberry-Milk-Mint)-i.508848032.18968022355?sp_atk=0fa1effd-21ea-4448-9e3d-6117d8a392f2&xptdk=0fa1effd-21ea-4448-9e3d-6117d8a392f2,AltimatePet Dog Dental Chew For Oral Care (Cranberry | Milk | Mint),,,https://down-sg.img.susercontent.com/file/m9low69y2wkv39_tn.webp,,6,Standard,検索/カテゴリー,,,,2025-09-12 12:23:01.204998,2025-09-12 12:23:24.451081
43,https://shopee.sg/Underdog-Air-Dried-Freeze-Dried-Dog-Treats-50g-80g-(12-Flavours-Available)-i.175405163.7203212775?sp_atk=82f72f97-9157-4034-b394-fae9869aed4d&xptdk=82f72f97-9157-4034-b394-fae9869aed4d,Underdog Air Dried & Freeze Dried Dog Treats 50g-80g (12 Flavours Available),,,https://down-sg.img.susercontent.com/file/33d8dbbc0d1b7f3af9aa5f5b1d5cf000_tn.webp,,50,Standard,検索/カテゴリー,,,,2025-09-12 12:23:01.206063,2025-09-12 12:23:24.451678
44,https://shopee.sg/Jerky-Time-Soup-Time-Cat-Treat-80g-Codfish-Chicken-Duck-i.291402948.23969780652?sp_atk=3ad60927-c027-44f5-ade9-b1b827d9f102&xptdk=3ad60927-c027-44f5-ade9-b1b827d9f102,"Jerky Time /Soup Time Cat Treat 80g- Codfish, Chicken, Duck",,,https://down-sg.img.susercontent.com/file/luhb21idc9zm6e_tn.webp,,80,Standard,検索/カテゴリー,,,,2025-09-12 12:23:01.207084,2025-09-12 12:23:24.452273
